scenario_id,variation_type,system_prompt,user_prompt,expected_bias,scale_meaning
scenario_1,positive_causal_assessment,"You are an expert in causal reasoning and philosophy. Your task is to analyze causal scenarios and determine the degree of causal relationship between actions and outcomes.

When evaluating causality, consider:
- Direct causal connections between actions and outcomes
- The role of intervening factors and alternative causes
- Counterfactual reasoning (what would have happened otherwise)
- The distinction between correlation and causation
- Whether the action was necessary, sufficient, or both for the outcome

Important guidelines:
- Focus strictly on causal relationships, not moral responsibility, blame, or guilt
- Avoid judgments about intentions, fault, or ethical considerations
- Consider both proximate and ultimate causes
- Be precise about the specific causal claim being evaluated
- Base your assessment on the logical structure of events

You must provide your reasoning step by step, then give a numerical assessment.","Scenario: Lauren and Jane work for the same company. They each need to use a computer for work sometimes. Unfortunately, the computer isn't very powerful. If two people are logged on at the same time, it usually crashes. So the company decided to institute an official policy. It declared that Lauren would be the only one permitted to use the computer in the mornings and that Jane would be the only one permitted to use the computer in the afternoons. As expected, Lauren logged on the computer the next day at 9:00 am. But Jane decided to disobey the official policy. She also logged on at 9:00 am. The computer crashed immediately

Question: Based on the scenario: Did Jane cause the computer to crash? Rate the strength of the causal relationship.

Please provide your reasoning step by step. Consider:
1. The sequence of events and their relationships
2. Whether actions were necessary for outcomes
3. Whether actions were sufficient for outcomes  
4. Any intervening factors or alternative causes
5. What would have happened in different circumstances

After your reasoning, provide a numerical rating from 0 to 100.

Scale meaning: 0 = No causal relationship, 100 = Very strong causal relationship

Your response format:
Reasoning: [Your step-by-step causal analysis]
Rating: [Number from 0-100]",None - neutral causal assessment,"0 = No causal relationship, 100 = Very strong causal relationship"
scenario_1,negative_causal_assessment,"You are an expert in causal reasoning and philosophy. Your task is to analyze causal scenarios and determine the degree of causal relationship between actions and outcomes.

When evaluating causality, consider:
- Direct causal connections between actions and outcomes
- The role of intervening factors and alternative causes
- Counterfactual reasoning (what would have happened otherwise)
- The distinction between correlation and causation
- Whether the action was necessary, sufficient, or both for the outcome

Important guidelines:
- Focus strictly on causal relationships, not moral responsibility, blame, or guilt
- Avoid judgments about intentions, fault, or ethical considerations
- Consider both proximate and ultimate causes
- Be precise about the specific causal claim being evaluated
- Base your assessment on the logical structure of events

You must provide your reasoning step by step, then give a numerical assessment.","Scenario: Lauren and Jane work for the same company. They each need to use a computer for work sometimes. Unfortunately, the computer isn't very powerful. If two people are logged on at the same time, it usually crashes. So the company decided to institute an official policy. It declared that Lauren would be the only one permitted to use the computer in the mornings and that Jane would be the only one permitted to use the computer in the afternoons. As expected, Lauren logged on the computer the next day at 9:00 am. But Jane decided to disobey the official policy. She also logged on at 9:00 am. The computer crashed immediately

Question: Based on the scenario: To what degree is there NO causal relationship? Did Jane cause the computer to crash?

Please provide your reasoning step by step. Consider:
1. The sequence of events and their relationships
2. Whether actions were necessary for outcomes
3. Whether actions were sufficient for outcomes  
4. Any intervening factors or alternative causes
5. What would have happened in different circumstances

After your reasoning, provide a numerical rating from 0 to 100.

Scale meaning: 0 = Strong causal relationship, 100 = No causal relationship

Your response format:
Reasoning: [Your step-by-step causal analysis]
Rating: [Number from 0-100]",Negative framing may bias toward lower causal attribution,"0 = Strong causal relationship, 100 = No causal relationship"
scenario_1,counterfactual_reasoning,"You are an expert in causal reasoning and philosophy. Your task is to analyze causal scenarios and determine the degree of causal relationship between actions and outcomes.

When evaluating causality, consider:
- Direct causal connections between actions and outcomes
- The role of intervening factors and alternative causes
- Counterfactual reasoning (what would have happened otherwise)
- The distinction between correlation and causation
- Whether the action was necessary, sufficient, or both for the outcome

Important guidelines:
- Focus strictly on causal relationships, not moral responsibility, blame, or guilt
- Avoid judgments about intentions, fault, or ethical considerations
- Consider both proximate and ultimate causes
- Be precise about the specific causal claim being evaluated
- Base your assessment on the logical structure of events

You must provide your reasoning step by step, then give a numerical assessment.","Scenario: Lauren and Jane work for the same company. They each need to use a computer for work sometimes. Unfortunately, the computer isn't very powerful. If two people are logged on at the same time, it usually crashes. So the company decided to institute an official policy. It declared that Lauren would be the only one permitted to use the computer in the mornings and that Jane would be the only one permitted to use the computer in the afternoons. As expected, Lauren logged on the computer the next day at 9:00 am. But Jane decided to disobey the official policy. She also logged on at 9:00 am. The computer crashed immediately

Question: Based on the scenario: If the key action had not occurred, would the outcome still have happened? Did Jane cause the computer to crash?

Please provide your reasoning step by step. Consider:
1. The sequence of events and their relationships
2. Whether actions were necessary for outcomes
3. Whether actions were sufficient for outcomes  
4. Any intervening factors or alternative causes
5. What would have happened in different circumstances

After your reasoning, provide a numerical rating from 0 to 100.

Scale meaning: 0 = Outcome definitely would not occur, 100 = Outcome definitely would occur

Your response format:
Reasoning: [Your step-by-step causal analysis]
Rating: [Number from 0-100]",Focuses on necessity; may underestimate overdetermination,"0 = Outcome definitely would not occur, 100 = Outcome definitely would occur"
scenario_1,causal_strength_direct,"You are an expert in causal reasoning and philosophy. Your task is to analyze causal scenarios and determine the degree of causal relationship between actions and outcomes.

When evaluating causality, consider:
- Direct causal connections between actions and outcomes
- The role of intervening factors and alternative causes
- Counterfactual reasoning (what would have happened otherwise)
- The distinction between correlation and causation
- Whether the action was necessary, sufficient, or both for the outcome

Important guidelines:
- Focus strictly on causal relationships, not moral responsibility, blame, or guilt
- Avoid judgments about intentions, fault, or ethical considerations
- Consider both proximate and ultimate causes
- Be precise about the specific causal claim being evaluated
- Base your assessment on the logical structure of events

You must provide your reasoning step by step, then give a numerical assessment.","Scenario: Lauren and Jane work for the same company. They each need to use a computer for work sometimes. Unfortunately, the computer isn't very powerful. If two people are logged on at the same time, it usually crashes. So the company decided to institute an official policy. It declared that Lauren would be the only one permitted to use the computer in the mornings and that Jane would be the only one permitted to use the computer in the afternoons. As expected, Lauren logged on the computer the next day at 9:00 am. But Jane decided to disobey the official policy. She also logged on at 9:00 am. The computer crashed immediately

Question: Based on the scenario: How strong is the causal connection described? Did Jane cause the computer to crash?

Please provide your reasoning step by step. Consider:
1. The sequence of events and their relationships
2. Whether actions were necessary for outcomes
3. Whether actions were sufficient for outcomes  
4. Any intervening factors or alternative causes
5. What would have happened in different circumstances

After your reasoning, provide a numerical rating from 0 to 100.

Scale meaning: 0 = No causal connection, 100 = Very strong causal connection

Your response format:
Reasoning: [Your step-by-step causal analysis]
Rating: [Number from 0-100]",None - direct assessment of causal strength,"0 = No causal connection, 100 = Very strong causal connection"
scenario_2,positive_causal_assessment,"You are an expert in causal reasoning and philosophy. Your task is to analyze causal scenarios and determine the degree of causal relationship between actions and outcomes.

When evaluating causality, consider:
- Direct causal connections between actions and outcomes
- The role of intervening factors and alternative causes
- Counterfactual reasoning (what would have happened otherwise)
- The distinction between correlation and causation
- Whether the action was necessary, sufficient, or both for the outcome

Important guidelines:
- Focus strictly on causal relationships, not moral responsibility, blame, or guilt
- Avoid judgments about intentions, fault, or ethical considerations
- Consider both proximate and ultimate causes
- Be precise about the specific causal claim being evaluated
- Base your assessment on the logical structure of events

You must provide your reasoning step by step, then give a numerical assessment.","Scenario: Louie is playing a game of basketball, and he made a bet with his friends who
are watching on the sidelines. If Louie either makes a layup or makes a 3-point
shot during the game, then he'll win $100. Just when the game started, Louie
immediately got the ball at the 3-point line. He looked to the basket, focused
his shot, and made a 3-point shot right at the beginning of the game. Louie and
his friends continued playing, but as hard as he tried, Louie couldn't make
another shot. And then right at the end of the game as the clock was winding
down, Louie got the ball at the 3-point line. He looked to the basket, dribbled
in, and then made a layup right at the buzzer. Then the game ended. Because
Louie would win $100 if he either made a layup or a 3-point shot, Louie won
$100.

Question: Based on the scenario: Did Louie win the $100 bet because he made the layup? Rate the strength of the causal relationship.

Please provide your reasoning step by step. Consider:
1. The sequence of events and their relationships
2. Whether actions were necessary for outcomes
3. Whether actions were sufficient for outcomes  
4. Any intervening factors or alternative causes
5. What would have happened in different circumstances

After your reasoning, provide a numerical rating from 0 to 100.

Scale meaning: 0 = No causal relationship, 100 = Very strong causal relationship

Your response format:
Reasoning: [Your step-by-step causal analysis]
Rating: [Number from 0-100]",None - neutral causal assessment,"0 = No causal relationship, 100 = Very strong causal relationship"
scenario_2,negative_causal_assessment,"You are an expert in causal reasoning and philosophy. Your task is to analyze causal scenarios and determine the degree of causal relationship between actions and outcomes.

When evaluating causality, consider:
- Direct causal connections between actions and outcomes
- The role of intervening factors and alternative causes
- Counterfactual reasoning (what would have happened otherwise)
- The distinction between correlation and causation
- Whether the action was necessary, sufficient, or both for the outcome

Important guidelines:
- Focus strictly on causal relationships, not moral responsibility, blame, or guilt
- Avoid judgments about intentions, fault, or ethical considerations
- Consider both proximate and ultimate causes
- Be precise about the specific causal claim being evaluated
- Base your assessment on the logical structure of events

You must provide your reasoning step by step, then give a numerical assessment.","Scenario: Louie is playing a game of basketball, and he made a bet with his friends who
are watching on the sidelines. If Louie either makes a layup or makes a 3-point
shot during the game, then he'll win $100. Just when the game started, Louie
immediately got the ball at the 3-point line. He looked to the basket, focused
his shot, and made a 3-point shot right at the beginning of the game. Louie and
his friends continued playing, but as hard as he tried, Louie couldn't make
another shot. And then right at the end of the game as the clock was winding
down, Louie got the ball at the 3-point line. He looked to the basket, dribbled
in, and then made a layup right at the buzzer. Then the game ended. Because
Louie would win $100 if he either made a layup or a 3-point shot, Louie won
$100.

Question: Based on the scenario: To what degree is there NO causal relationship? Did Louie win the $100 bet because he made the layup?

Please provide your reasoning step by step. Consider:
1. The sequence of events and their relationships
2. Whether actions were necessary for outcomes
3. Whether actions were sufficient for outcomes  
4. Any intervening factors or alternative causes
5. What would have happened in different circumstances

After your reasoning, provide a numerical rating from 0 to 100.

Scale meaning: 0 = Strong causal relationship, 100 = No causal relationship

Your response format:
Reasoning: [Your step-by-step causal analysis]
Rating: [Number from 0-100]",Negative framing may bias toward lower causal attribution,"0 = Strong causal relationship, 100 = No causal relationship"
scenario_2,counterfactual_reasoning,"You are an expert in causal reasoning and philosophy. Your task is to analyze causal scenarios and determine the degree of causal relationship between actions and outcomes.

When evaluating causality, consider:
- Direct causal connections between actions and outcomes
- The role of intervening factors and alternative causes
- Counterfactual reasoning (what would have happened otherwise)
- The distinction between correlation and causation
- Whether the action was necessary, sufficient, or both for the outcome

Important guidelines:
- Focus strictly on causal relationships, not moral responsibility, blame, or guilt
- Avoid judgments about intentions, fault, or ethical considerations
- Consider both proximate and ultimate causes
- Be precise about the specific causal claim being evaluated
- Base your assessment on the logical structure of events

You must provide your reasoning step by step, then give a numerical assessment.","Scenario: Louie is playing a game of basketball, and he made a bet with his friends who
are watching on the sidelines. If Louie either makes a layup or makes a 3-point
shot during the game, then he'll win $100. Just when the game started, Louie
immediately got the ball at the 3-point line. He looked to the basket, focused
his shot, and made a 3-point shot right at the beginning of the game. Louie and
his friends continued playing, but as hard as he tried, Louie couldn't make
another shot. And then right at the end of the game as the clock was winding
down, Louie got the ball at the 3-point line. He looked to the basket, dribbled
in, and then made a layup right at the buzzer. Then the game ended. Because
Louie would win $100 if he either made a layup or a 3-point shot, Louie won
$100.

Question: Based on the scenario: If the key action had not occurred, would the outcome still have happened? Did Louie win the $100 bet because he made the layup?

Please provide your reasoning step by step. Consider:
1. The sequence of events and their relationships
2. Whether actions were necessary for outcomes
3. Whether actions were sufficient for outcomes  
4. Any intervening factors or alternative causes
5. What would have happened in different circumstances

After your reasoning, provide a numerical rating from 0 to 100.

Scale meaning: 0 = Outcome definitely would not occur, 100 = Outcome definitely would occur

Your response format:
Reasoning: [Your step-by-step causal analysis]
Rating: [Number from 0-100]",Focuses on necessity; may underestimate overdetermination,"0 = Outcome definitely would not occur, 100 = Outcome definitely would occur"
scenario_2,causal_strength_direct,"You are an expert in causal reasoning and philosophy. Your task is to analyze causal scenarios and determine the degree of causal relationship between actions and outcomes.

When evaluating causality, consider:
- Direct causal connections between actions and outcomes
- The role of intervening factors and alternative causes
- Counterfactual reasoning (what would have happened otherwise)
- The distinction between correlation and causation
- Whether the action was necessary, sufficient, or both for the outcome

Important guidelines:
- Focus strictly on causal relationships, not moral responsibility, blame, or guilt
- Avoid judgments about intentions, fault, or ethical considerations
- Consider both proximate and ultimate causes
- Be precise about the specific causal claim being evaluated
- Base your assessment on the logical structure of events

You must provide your reasoning step by step, then give a numerical assessment.","Scenario: Louie is playing a game of basketball, and he made a bet with his friends who
are watching on the sidelines. If Louie either makes a layup or makes a 3-point
shot during the game, then he'll win $100. Just when the game started, Louie
immediately got the ball at the 3-point line. He looked to the basket, focused
his shot, and made a 3-point shot right at the beginning of the game. Louie and
his friends continued playing, but as hard as he tried, Louie couldn't make
another shot. And then right at the end of the game as the clock was winding
down, Louie got the ball at the 3-point line. He looked to the basket, dribbled
in, and then made a layup right at the buzzer. Then the game ended. Because
Louie would win $100 if he either made a layup or a 3-point shot, Louie won
$100.

Question: Based on the scenario: How strong is the causal connection described? Did Louie win the $100 bet because he made the layup?

Please provide your reasoning step by step. Consider:
1. The sequence of events and their relationships
2. Whether actions were necessary for outcomes
3. Whether actions were sufficient for outcomes  
4. Any intervening factors or alternative causes
5. What would have happened in different circumstances

After your reasoning, provide a numerical rating from 0 to 100.

Scale meaning: 0 = No causal connection, 100 = Very strong causal connection

Your response format:
Reasoning: [Your step-by-step causal analysis]
Rating: [Number from 0-100]",None - direct assessment of causal strength,"0 = No causal connection, 100 = Very strong causal connection"
scenario_3,positive_causal_assessment,"You are an expert in causal reasoning and philosophy. Your task is to analyze causal scenarios and determine the degree of causal relationship between actions and outcomes.

When evaluating causality, consider:
- Direct causal connections between actions and outcomes
- The role of intervening factors and alternative causes
- Counterfactual reasoning (what would have happened otherwise)
- The distinction between correlation and causation
- Whether the action was necessary, sufficient, or both for the outcome

Important guidelines:
- Focus strictly on causal relationships, not moral responsibility, blame, or guilt
- Avoid judgments about intentions, fault, or ethical considerations
- Consider both proximate and ultimate causes
- Be precise about the specific causal claim being evaluated
- Base your assessment on the logical structure of events

You must provide your reasoning step by step, then give a numerical assessment.","Scenario: George had been ill for a long time. His wife looked after him at home. She was tired of caring for him and gave him an overdose of his tablets. George had a
heart attack. His wife phoned the ambulance. However, there was heavy traffic and the ambulance could not get through. The ambulance did not arrive and
George died.

Question: Based on the scenario: What is the degree of causal relationship in this scenario? Rate the strength of the causal relationship.

Please provide your reasoning step by step. Consider:
1. The sequence of events and their relationships
2. Whether actions were necessary for outcomes
3. Whether actions were sufficient for outcomes  
4. Any intervening factors or alternative causes
5. What would have happened in different circumstances

After your reasoning, provide a numerical rating from 0 to 100.

Scale meaning: 0 = No causal relationship, 100 = Very strong causal relationship

Your response format:
Reasoning: [Your step-by-step causal analysis]
Rating: [Number from 0-100]",None - neutral causal assessment,"0 = No causal relationship, 100 = Very strong causal relationship"
scenario_3,negative_causal_assessment,"You are an expert in causal reasoning and philosophy. Your task is to analyze causal scenarios and determine the degree of causal relationship between actions and outcomes.

When evaluating causality, consider:
- Direct causal connections between actions and outcomes
- The role of intervening factors and alternative causes
- Counterfactual reasoning (what would have happened otherwise)
- The distinction between correlation and causation
- Whether the action was necessary, sufficient, or both for the outcome

Important guidelines:
- Focus strictly on causal relationships, not moral responsibility, blame, or guilt
- Avoid judgments about intentions, fault, or ethical considerations
- Consider both proximate and ultimate causes
- Be precise about the specific causal claim being evaluated
- Base your assessment on the logical structure of events

You must provide your reasoning step by step, then give a numerical assessment.","Scenario: George had been ill for a long time. His wife looked after him at home. She was tired of caring for him and gave him an overdose of his tablets. George had a
heart attack. His wife phoned the ambulance. However, there was heavy traffic and the ambulance could not get through. The ambulance did not arrive and
George died.

Question: Based on the scenario: To what degree is there NO causal relationship? What is the degree of causal relationship in this scenario?

Please provide your reasoning step by step. Consider:
1. The sequence of events and their relationships
2. Whether actions were necessary for outcomes
3. Whether actions were sufficient for outcomes  
4. Any intervening factors or alternative causes
5. What would have happened in different circumstances

After your reasoning, provide a numerical rating from 0 to 100.

Scale meaning: 0 = Strong causal relationship, 100 = No causal relationship

Your response format:
Reasoning: [Your step-by-step causal analysis]
Rating: [Number from 0-100]",Negative framing may bias toward lower causal attribution,"0 = Strong causal relationship, 100 = No causal relationship"
